"","smart_1_normalized","smart_3_normalized","smart_5_normalized","smart_7_normalized","time_day","smart_192_normalized","smart_193_normalized","smart_194_normalized","smart_197_normalized","smart_198_normalized","model_Bin"
"61","0.25","1","0.75","0.75",1856.25,"0.75","0.75","1","0.75","0.96","other"
"62","0.75","0.25","0.75","0.75",767.875,"0.75","0.75","0.25","0.75","0.96","ST40000DM000"
"63","1","0.75","0.75","0.75",793.416666666667,"0.75","0.25","0.75","0.75","0.96","other"
"64","0.75","0.5","0.75","0.25",127.375,"0.75","0.25","0.25","0.75","0.96","ST40000DM000"
"65","0.5","0.75","0.75","0.25",250.416666666667,"0.75","1","0.25","0.75","0.96","ST40000DM000"
"66","1","1","1","0.75",2401.125,"1","1","1","1","1","other"
"67","0.5","0.75","0.75","0.25",823.041666666667,"0.75","0.25","0.75","0.75","0.96","other"
"68","0.75","0.75","0.75","0.25",250.416666666667,"0.75","1","0.25","0.75","0.96","ST40000DM000"
"69","0.5","0.75","0.75","0.25",108.541666666667,"0.75","0.75","0.75","0.75","0.96","ST40000DM000"
"70","0.5","0.75","0.75","0.75",929.833333333333,"0.75","0.25","0.75","0.75","0.96","other"
"71","0.5","0.5","0.75","0.25",670.333333333333,"0.75","0.75","0.75","0.75","0.96","ST40000DM000"
"72","0.75","0.25","0.75","0.75",347.416666666667,"0.75","0.25","0.25","0.75","0.96","ST40000DM000"
"73","0.5","0.75","0.75","0.75",439.25,"0.75","1","0.75","0.75","0.96","ST40000DM000"
"74","0.25","0.75","0.75","0.75",877.458333333333,"0.75","0.25","0.75","0.75","0.96","other"
"75","0.75","0.75","0.75","0.75",551.333333333333,"0.75","0.25","0.75","0.75","0.96","other"
"76","0.25","1","0.75","0.75",984.416666666667,"0.75","1","1","0.75","0.96","other"
"77","0.5","0.75","0.75","0.75",874.166666666667,"0.75","0.25","0.75","0.75","0.96","other"
"78","0.5","0.75","0.75","0.75",875.5,"0.75","0.25","0.25","0.75","0.96","other"
"79","1","0.25","0.75","0.75",981,"0.75","0.75","0.75","0.75","0.96","ST40000DM000"
"80","0.75","0.25","0.75","0.75",902.958333333333,"0.75","0.75","0.25","0.75","0.96","ST40000DM000"
"81","1","0.25","0.75","0.75",1067.54166666667,"0.75","0.25","0.75","0.75","0.96","ST40000DM000"
"82","0.75","0.25","0.75","0.75",786.25,"0.75","0.75","0.75","0.75","0.96","ST40000DM000"
"83","0.25","1","0.75","0.75",1150.79166666667,"0.75","1","1","0.75","0.96","other"
"84","0.5","0.25","0.75","0.75",991.041666666667,"0.75","0.25","0.75","0.75","0.96","ST40000DM000"
"85","0.5","0.75","0.75","0.25",53.2083333333333,"0.75","0.75","0.25","0.75","0.96","ST40000DM000"
"86","1","0.25","0.75","0.25",765.208333333333,"0.75","0.75","0.75","0.75","0.96","ST40000DM000"
"87","1","0.25","0.75","0.75",792.875,"0.75","0.25","0.75","0.75","0.96","ST40000DM000"
"88","0.75","0.75","0.75","0.75",483.208333333333,"0.75","1","0.75","0.75","0.96","ST40000DM000"
"89","0.5","0.5","0.75","0.25",55.125,"0.75","0.75","0.75","0.75","0.96","ST40000DM000"
"90","0.25","0.25","0.75","0.25",352.208333333333,"0.75","0.75","0.25","0.75","0.96","ST40000DM000"
"91","0.75","0.5","0.75","0.75",807.541666666667,"0.75","0.75","0.25","0.75","0.96","ST40000DM000"
"92","0.25","1","0.75","0.75",1976.45833333333,"0.75","0.75","1","0.75","0.96","other"
"93","0.25","0.75","0.75","0.75",1668.33333333333,"1","0.75","0.75","0.75","0.96","other"
"94","0.25","0.25","0.75","0.75",537.208333333333,"0.75","0.25","0.75","0.75","0.96","ST40000DM000"
"95","0.25","1","0.75","0.75",2080.95833333333,"0.75","0.75","1","0.75","0.96","other"
"96","0.75","0.25","0.75","0.25",370.416666666667,"0.75","0.75","0.75","0.75","0.96","other"
"97","0.25","0.75","0.75","0.75",1169.33333333333,"0.75","0.25","0.75","0.75","0.96","other"
"98","0.75","0.25","0.75","0.75",606.916666666667,"0.75","0.75","0.75","0.75","0.96","other"
"99","0.5","0.75","0.75","0.25",21.25,"0.75","0.75","0.25","0.75","0.96","ST40000DM000"
"100","0.25","0.75","0.75","0.75",402.333333333333,"0.75","1","1","0.75","0.96","other"
"101","0.25","0.75","0.75","0.75",1169.08333333333,"0.75","0.25","0.75","0.75","0.96","other"
"102","0.25","0.75","0.75","0.75",1170.5,"0.75","0.25","0.75","0.75","0.96","other"
"103","1","0.25","0.75","0.75",538.541666666667,"0.75","0.75","0.25","0.75","0.96","ST40000DM000"
"104","0.25","0.75","0.75","0.25",21.25,"0.75","0.75","0.25","0.75","0.96","ST40000DM000"
"105","1","0.5","0.75","0.25",180.416666666667,"0.75","0.75","0.75","0.75","0.96","ST40000DM000"
"106","0.5","0.25","0.75","0.75",893.166666666667,"0.75","0.25","0.75","0.75","0.96","ST40000DM000"
"107","0.75","0.25","0.75","0.75",1028.25,"0.75","0.75","0.75","0.75","0.96","ST40000DM000"
"108","0.5","0.5","0.75","0.75",444.291666666667,"0.75","0.75","0.25","0.75","0.96","ST40000DM000"
"109","1","1","1","0.75",1596.45833333333,"1","1","1","1","0.96","other"
"110","1","1","1","1",2455.5,"1","1","1","1","1","other"
"111","0.25","0.25","0.75","0.25",820.875,"0.75","0.75","0.25","0.75","0.96","ST40000DM000"
"112","0.5","0.25","0.75","0.75",1144.95833333333,"0.75","1","0.75","0.75","0.96","other"
"113","0.25","0.25","0.75","0.75",896.458333333333,"0.75","0.75","0.75","0.75","0.96","ST40000DM000"
"114","0.5","0.75","0.75","0.75",1953.125,"1","0.75","0.75","0.75","0.96","other"
"115","1","0.25","0.75","0.75",943.666666666667,"0.75","0.75","0.75","0.75","0.96","ST40000DM000"
"116","1","1","1","0.75",916.666666666667,"1","1","1","1","0.96","other"
"117","0.5","0.5","0.75","0.75",943.625,"0.75","0.75","0.75","0.75","0.96","ST40000DM000"
"118","0.75","0.25","0.75","0.75",708.333333333333,"0.75","0.75","0.75","0.75","0.96","ST40000DM000"
"119","1","1","1","1",1307.83333333333,"1","1","1","1","1","other"
"120","0.75","0.25","0.75","0.75",809.416666666667,"0.75","0.75","0.75","0.75","0.96","ST40000DM000"
"121","0.75","0.25","0.75","0.75",490.333333333333,"0.75","0.75","0.75","0.75","0.96","ST40000DM000"
"122","0.75","0.25","0.75","0.75",1000.91666666667,"0.75","0.25","0.75","0.75","0.96","ST40000DM000"
"123","0.5","0.5","0.75","0.25",256.291666666667,"0.75","0.25","0.75","0.75","0.96","ST40000DM000"
"124","1","0.25","0.75","0.75",848.958333333333,"0.75","0.25","0.25","0.75","0.96","ST40000DM000"
"125","0.5","0.75","0.75","0.25",359.375,"0.75","0.75","0.25","0.75","0.96","ST40000DM000"
"126","0.75","0.25","0.75","0.75",885.125,"0.75","0.75","0.75","0.75","0.96","ST40000DM000"
"127","0.5","0.75","0.75","0.25",360.375,"0.75","0.75","0.25","0.75","0.96","ST40000DM000"
"128","0.5","0.25","0.75","0.75",1005.125,"0.75","0.75","0.75","0.75","0.96","ST40000DM000"
"129","1","0.75","0.75","0.25",196.5,"0.75","0.75","0.75","0.75","0.96","ST40000DM000"
"130","0.75","0.25","0.75","0.25",825.708333333333,"0.75","0.25","0.75","0.75","0.96","ST40000DM000"
"131","1","1","1","1",1281.41666666667,"1","1","1","1","0.96","other"
"132","1","1","1","1",1585.45833333333,"1","1","1","1","1","other"
"133","0.25","1","0.75","0.75",1690.08333333333,"0.75","0.75","1","0.75","0.96","other"
"134","0.5","0.5","0.75","0.25",741.291666666667,"0.75","0.75","0.75","0.75","0.96","ST40000DM000"
"135","0.25","1","0.75","0.75",1691.08333333333,"0.75","0.75","1","0.75","0.96","other"
